sheep_plasticity;wolf_plasticity;cost_plasticity_sheep;cost_plasticity_wolf;sheep_gain_from_food;wolf_gain_from_food;sheep_reproduce;wolf_reproduce;grass_regrowth_time;mean_Richness;sd_Richness
2;3;0,8;0,9;20;40;15;5;15;6,95;0,219042914
2;3;0,8;0,9;20;50;10;5;15;6,95;0,261116484
2;3;0,8;0,9;20;50;15;15;15;6,94;0,238683257
2;3;0,8;0,9;20;40;10;15;10;6,93;0,2564324
2;3;0,8;0,9;20;40;15;15;10;6,93;0,2564324
2;3;0,8;0,9;20;50;25;10;15;6,93;0,29318867
2;3;0,8;0,9;30;40;15;5;15;6,92;0,272659924
2;3;0,8;0,9;20;50;15;5;15;6,91;0,287623491
2;3;0,8;0,9;30;40;25;15;15;6,91;0,287623491
2;3;0,8;0,9;20;30;10;15;5;6,9;0,301511345
2;3;0,8;0,9;20;40;15;5;5;6,9;0,659047369
2;3;0,8;0,9;20;50;10;10;15;6,9;0,301511345
2;3;0,8;0,9;40;30;10;5;15;6,9;0,333333333
2;3;0,8;0,9;40;30;15;5;15;6,9;0,301511345
2;3;0,8;0,9;20;50;10;15;15;6,89;0,345095507
2;3;0,8;0,9;30;50;25;5;15;6,89;0,314466038
2;3;0,8;0,9;20;40;10;10;10;6,88;0,326598632
2;3;0,8;0,9;30;30;15;10;10;6,88;0,498077111
2;3;0,8;0,9;20;40;10;5;10;6,86;0,348735088
2;3;0,8;0,9;20;50;15;10;15;6,86;0,348735088
2;3;0,8;0,9;30;40;15;5;10;6,86;0,586377339
2;3;0,8;0,9;40;30;15;10;15;6,84;0,545319849
2;3;0,8;0,9;20;40;15;5;10;6,83;0,403394686
2;3;0,8;0,9;20;40;15;10;10;6,83;0,403394686
2;3;0,8;0,9;30;30;10;5;10;6,82;0,38612292
2;3;0,8;0,9;30;30;15;5;10;6,82;0,38612292
2;3;0,8;0,9;30;50;15;15;15;6,8;0,666666667
2;3;0,8;0,9;20;30;10;5;5;6,79;0,409360181
2;3;0,8;0,9;20;50;25;5;10;6,79;0,433333333
2;3;0,8;0,9;20;50;25;10;10;6,79;0,433333333
2;3;0,8;0,9;30;30;10;10;10;6,78;0,4163332
2;3;0,8;0,9;40;30;10;15;15;6,77;0,468287229
2;3;0,8;0,9;20;30;10;10;5;6,75;0,479372485
2;3;0,8;0,9;20;30;15;5;5;6,75;0,5
2;3;0,8;0,9;20;50;10;10;5;6,75;0,701729465
2;3;0,8;0,9;30;40;10;5;15;6,74;0,440844002
2;3;0,8;0,9;30;40;15;10;15;6,73;0,547814759
2;3;0,8;0,9;40;30;10;10;15;6,73;0,547814759
2;3;0,8;0,9;30;30;10;15;10;6,68;0,51010001
2;3;0,8;0,9;20;40;10;15;5;6,67;0,620442983
2;3;0,8;0,9;30;40;10;10;15;6,67;0,493493013
2;3;0,8;0,9;30;40;10;15;15;6,67;0,532859638
2;3;0,8;0,9;20;50;15;5;10;6,66;0,476095229
2;3;0,8;0,9;20;50;25;15;10;6,66;0,554504055
2;3;0,8;0,9;40;40;15;5;15;6,66;0,53597829
