ticks;sheep_plasticity;wolf_plasticity;cost_plasticity_sheep;cost_plasticity_wolf;sheep_gain_from_food;wolf_gain_from_food;sheep_reproduce;wolf_reproduce;grass_regrowth_time;model-version;replicate-number;Richness;Shannon;Evenness;AbRelPgre;AbRelPvio;AbRelPgray;AbRelPsky;AbRelSone;AbRelSthree;AbRelSfou;AbRelWone;AbRelWtwo;AbRelWfour;abto-patchesgreen;abto-patchesviolet;abto-patchesgray;ab-to-patchessky;abto-sheepone;abu-to-sheepthree;ab-to-sheepfour;ab-to-wolvesone;abto-wolvestwo;abto-wolvesfour;abundance-total
500;0;0;0;0;20;40;25;5;10;HighPerturbationHighfractality;20;10;2,11435632;0,918253282;0,112585786;0,135329817;0,108275197;0,149481028;0,207900856;0,078866769;0,093641881;0,004168794;0,084652033;0,025097839;3970;4772;3818;5271;7331;2781;3302;147;2985;885;35262
999;0;0;0;0;20;40;25;5;10;HighPerturbationHighfractality;20;7;1,824898803;0,93781247;0,205182668;0,227272727;0,133248372;0,122486548;0,028603795;0,091900312;0,191305579;0;0;0;1449;1605;941;865;202;649;1351;0;0;0;7062
500;0;0;0;0;20;40;25;5;10;HighPerturbationHighfractality;21;10;2,149762838;0,933630138;0,174081355;0,121094813;0,115741721;0,119764101;0,118433389;0,116588538;0,099954635;0,011371541;0,108785725;0,014184183;5756;4004;3827;3960;3916;3855;3305;376;3597;469;33065
999;0;0;0;0;20;40;25;5;10;HighPerturbationHighfractality;21;8;1,905925859;0,916556595;0,213298314;0,202377661;0,158142107;0,073679845;0,050179707;0,067735693;0,200857064;0;0,03372961;0;1543;1464;1144;533;363;490;1453;0;244;0;7234
500;0;0;0;0;20;40;25;5;10;HighPerturbationHighfractality;22;10;2,120439793;0,920895301;0,143646252;0,106707835;0,144382755;0,109342247;0,202339811;0,087813722;0,088125319;0,007166733;0,090788057;0,01968727;5071;3767;5097;3860;7143;3100;3111;253;3205;695;35302
999;0;0;0;0;20;40;25;5;10;HighPerturbationHighfractality;22;8;1,907248506;0,917192654;0,156901688;0,107958576;0,148531707;0,193644489;0,057454958;0,058306143;0,249680806;0;0,027521634;0;1106;761;1047;1365;405;411;1760;0;194;0;7049
500;0;0;0;0;20;40;25;5;10;HighPerturbationHighfractality;23;10;2,140948838;0,929802266;0,145063722;0,104686674;0,154548658;0,122599401;0,154989135;0,108416045;0,088535855;0,004287308;0,092382686;0,024490515;4940;3565;5263;4175;5278;3692;3015;146;3146;834;34054
999;0;0;0;0;20;40;25;5;10;HighPerturbationHighfractality;23;8;1,723406544;0,828783358;0,118204343;0,085993295;0,319632707;0,129135695;0,013263373;0,036292086;0,269494243;0;0,027984259;0;811;590;2193;886;91;249;1849;0;192;0;6861
500;0;0;0;0;20;40;25;5;10;HighPerturbationHighfractality;24;10;2,141592494;0,930081803;0,140612564;0,120655602;0,14768741;0,123721369;0,150782655;0,090410636;0,099607936;0,006072576;0,102143089;0,018306164;4770;4093;5010;4197;5115;3067;3379;206;3465;621;33923
999;0;0;0;0;20;40;25;5;10;HighPerturbationHighfractality;24;8;1,780711236;0,85634109;0,231943032;0,108269147;0,161604418;0,141839849;0,048248801;0,036186601;0,270454876;0;0,001453277;0;1596;745;1112;976;332;249;1861;0;10;0;6881
500;0;0;0;0;20;40;25;5;10;HighPerturbationHighfractality;25;10;2,143637271;0,930969838;0,13102585;0,137313694;0,118915929;0,134344434;0,158709828;0,09038775;0,099877736;0,00902422;0,105554262;0,014846297;4501;4717;4085;4615;5452;3105;3431;310;3626;510;34352
999;0;0;0;0;20;40;25;5;10;HighPerturbationHighfractality;25;8;1,741684803;0,837573343;0,179260569;0,250552364;0,135660627;0,115628222;0,022094565;0,028722934;0,262483429;0;0,00559729;0;1217;1701;921;785;150;195;1782;0;38;0;6789
500;0;0;0;0;20;40;25;5;10;HighPerturbationHighfractality;26;10;2,145513201;0,931784544;0,179497809;0,09119981;0,111246003;0,151486438;0,143195547;0,091584745;0,10286628;0,009830629;0,095996684;0,023096056;6062;3080;3757;5116;4836;3093;3474;332;3242;780;33772
999;0;0;0;0;20;40;25;5;10;HighPerturbationHighfractality;26;10;1,862766319;0,808989133;0,153568333;0,092603294;0,130887027;0,232302803;0,041750939;0,03048252;0,278965617;0,012424155;0,026581913;0,000433401;1063;641;906;1608;289;211;1931;86;184;3;6922
500;0;0;0;0;20;40;25;5;10;HighPerturbationHighfractality;27;10;2,1298337;0,924975023;0,144675325;0,117835498;0,144733045;0,112842713;0,163376623;0,098614719;0,088225108;0,004646465;0,108629149;0,016421356;5013;4083;5015;3910;5661;3417;3057;161;3764;569;34650
999;0;0;0;0;20;40;25;5;10;HighPerturbationHighfractality;27;8;1,937276837;0,931633228;0,191735774;0,178581641;0,135544753;0,124392336;0,024735488;0,08021161;0,208464398;0;0,056334001;0;1341;1249;948;870;173;561;1458;0;394;0;6994
500;0;0;0;0;20;40;25;5;10;HighPerturbationHighfractality;28;10;2,147186264;0,932511146;0,143593046;0,127641515;0,124041445;0,125387812;0,160832406;0,103875198;0,091904232;0,005473278;0,094157935;0,023093134;4906;4361;4238;4284;5495;3549;3140;187;3217;789;34166
999;0;0;0;0;20;40;25;5;10;HighPerturbationHighfractality;28;9;1,966424791;0,89495849;0,204354416;0,099214551;0,162739424;0,146892655;0,055532589;0,053190023;0,229020256;0,020807496;0,028248588;0;1483;720;1181;1066;403;386;1662;151;205;0;7257
500;0;0;0;0;20;40;25;5;10;HighPerturbationHighfractality;29;10;2,160814062;0,938429624;0,131893138;0,130238194;0,129765353;0,131479402;0,159170164;0,096577812;0,101394881;0,006649329;0,081594657;0,031237071;4463;4407;4391;4449;5386;3268;3431;225;2761;1057;33838
999;0;0;0;0;20;40;25;5;10;HighPerturbationHighfractality;29;8;1,916943882;0,921855144;0,123061459;0,140436531;0,130528432;0,198449167;0,084290638;0,081275129;0,232194141;0;0,009764503;0;857;978;909;1382;587;566;1617;0;68;0;6964
500;0;0;0;0;20;40;25;5;10;HighPerturbationHighfractality;30;10;2,135641247;0,927497209;0,180119201;0,107430591;0,115636886;0,12728743;0,141873072;0,100152745;0,098385696;0,005301147;0,104675192;0,019138039;6014;3587;3861;4250;4737;3344;3285;177;3495;639;33389
999;0;0;0;0;20;40;25;5;10;HighPerturbationHighfractality;30;9;1,838758072;0,836854863;0,218343697;0,097795365;0,145562465;0,1910684;0,037874505;0,040983607;0,247880158;0;0,020067835;0,000423968;1545;692;1030;1352;268;290;1754;0;142;3;7076
500;0;0;0;0;20;40;25;5;10;HighPerturbationHighfractality;31;10;2,136420511;0,927835639;0,125509635;0,13935412;0,144809785;0,116446191;0,153257267;0,097322031;0,096090106;0,004311736;0,105182882;0,017716247;4279;4751;4937;3970;5225;3318;3276;147;3586;604;34093
999;0;0;0;0;20;40;25;5;10;HighPerturbationHighfractality;31;9;1,892368449;0,861253997;0,197419916;0,149441948;0,115523989;0,179446297;0,035512393;0,05174663;0,241629222;0,004203508;0,025076098;0;1362;1031;797;1238;245;357;1667;29;173;0;6899
500;0;0;0;0;20;40;25;5;10;HighPerturbationHighfractality;32;10;2,133412759;0,926529389;0,124413689;0,134315826;0,157391858;0,099832069;0,171868666;0,096676125;0,093722856;0,004690486;0,094996815;0,022091609;4297;4639;5436;3448;5936;3339;3237;162;3281;763;34538
999;0;0;0;0;20;40;25;5;10;HighPerturbationHighfractality;32;8;1,82544569;0,877853815;0,169678865;0,179985063;0,155339806;0,092606423;0,031665422;0,044361464;0,299327857;0;0,027035101;0;1136;1205;1040;620;212;297;2004;0;181;0;6695
500;0;0;0;0;20;40;25;5;10;HighPerturbationHighfractality;33;10;2,137631964;0,928361766;0,142811099;0,115620147;0,098625802;0,158193911;0,168390518;0,093879106;0,10442732;0,008819479;0,091476457;0,01775616;4874;3946;3366;5399;5747;3204;3564;301;3122;606;34129
999;0;0;0;0;20;40;25;5;10;HighPerturbationHighfractality;33;7;1,821568942;0,93610126;0,174351371;0,177761305;0,144848036;0,148999259;0,052186805;0,047146034;0,254707191;0;0;0;1176;1199;977;1005;352;318;1718;0;0;0;6745
500;0;0;0;0;20;40;25;5;10;HighPerturbationHighfractality;34;10;2,132343331;0,926064942;0,108877285;0,169045547;0,107252683;0,139338555;0,174354511;0,090078329;0,096286626;0,003336234;0,080214679;0,03121555;3753;5827;3697;4803;6010;3105;3319;115;2765;1076;34470
999;0;0;0;0;20;40;25;5;10;HighPerturbationHighfractality;34;8;1,842061339;0,885844253;0,163681738;0,208896066;0,125513799;0,153405755;0,035525543;0,059160305;0,245449207;0;0,008367587;0;1115;1423;855;1045;242;403;1672;0;57;0;6812
500;0;0;0;0;20;40;25;5;10;HighPerturbationHighfractality;35;10;2,143026109;0,930704414;0,147832014;0,162295131;0,127115379;0,085889571;0,142408346;0,110636911;0,094217717;0,007853946;0,101893838;0,019857147;4988;5476;4289;2898;4805;3733;3179;265;3438;670;33741
999;0;0;0;0;20;40;25;5;10;HighPerturbationHighfractality;35;8;1,750153743;0,841646042;0,150597733;0,161310356;0,218444341;0,085700978;0,037882316;0,041918957;0,30274802;0;0,001397299;0;970;1039;1407;552;244;270;1950;0;9;0;6441
500;0;0;0;0;20;40;25;5;10;HighPerturbationHighfractality;36;10;2,154092553;0,935510509;0,137817343;0,119623535;0,151125498;0,12498876;0,136018943;0,111770524;0,094625783;0,005395198;0,09369661;0,024937805;4598;3991;5042;4170;4538;3729;3157;180;3126;832;33363
999;0;0;0;0;20;40;25;5;10;HighPerturbationHighfractality;36;9;1,978359515;0,900390217;0,20242915;0,089878543;0,232118758;0,097975709;0,075303644;0,065317139;0,173549258;0,006072874;0,057354926;0;1500;666;1720;726;558;484;1286;45;425;0;7410
500;0;0;0;0;20;40;25;5;10;HighPerturbationHighfractality;37;10;2,132704647;0,92622186;0,18811615;0,09383402;0,138077314;0,114387286;0,127890303;0,110145187;0,092728685;0,010664994;0,111429766;0,012726295;6297;3141;4622;3829;4281;3687;3104;357;3730;426;33474
999;0;0;0;0;20;40;25;5;10;HighPerturbationHighfractality;37;9;1,910288207;0,86940963;0,170033162;0,146517938;0,132800724;0,1178776;0,024268918;0,063913175;0,293035876;0,012812783;0,038739825;0;1128;972;881;782;161;424;1944;85;257;0;6634
500;0;0;0;0;20;40;25;5;10;HighPerturbationHighfractality;38;10;2,154903574;0,935862731;0,15090036;0,116686675;0,136884754;0,125780312;0,126380552;0,121488595;0,093757503;0,008043217;0,100660264;0,019417767;5028;3888;4561;4191;4211;4048;3124;268;3354;647;33320
999;0;0;0;0;20;40;25;5;10;HighPerturbationHighfractality;38;9;1,924706402;0,875971633;0,15969195;0,182795699;0,102441151;0,138186574;0,069747167;0,055652427;0,264458006;0,015693112;0,011333915;0;1099;1258;705;951;480;383;1820;108;78;0;6882
500;0;0;0;0;20;40;25;5;10;HighPerturbationHighfractality;39;10;2,14173984;0,930145794;0,161145793;0,139191732;0,11956749;0,111204038;0,130738672;0,112667642;0,095403089;0,006869978;0,10773918;0,015472386;5395;4660;4003;3723;4377;3772;3194;230;3607;518;33479
999;0;0;0;0;20;40;25;5;10;HighPerturbationHighfractality;39;8;1,945946459;0,935802435;0,216488984;0,098081023;0,15565032;0,106041222;0,072778962;0,058706468;0,236247335;0;0,056005686;0;1523;690;1095;746;512;413;1662;0;394;0;7035
500;0;0;0;0;20;40;25;5;10;HighPerturbationHighfractality;40;10;2,122277787;0,921693532;0,162381913;0,113216928;0,130472931;0,116287912;0,15492381;0,106460765;0,088736802;0,004416367;0,110613904;0,012488667;5552;3871;4461;3976;5297;3640;3034;151;3782;427;34191
999;0;0;0;0;20;40;25;5;10;HighPerturbationHighfractality;40;8;1,931420842;0,92881709;0,13252669;0,110320285;0,210818505;0,124839858;0,089964413;0,039430605;0,245124555;0;0,046975089;0;931;775;1481;877;632;277;1722;0;330;0;7025
500;0;0;0;0;20;40;25;5;10;HighPerturbationHighfractality;41;10;2,148032547;0,932878682;0,162316672;0,138012571;0,124693206;0,119425322;0,125621072;0,104369949;0,098413649;0,004759054;0,099461239;0,022927267;5423;4611;4166;3990;4197;3487;3288;159;3323;766;33410
999;0;0;0;0;20;40;25;5;10;HighPerturbationHighfractality;41;10;1,88663778;0,819356377;0,196138211;0,095092915;0,112514518;0,208042973;0,039198606;0,070993031;0,253774681;0,013356562;0,010598142;0,00029036;1351;655;775;1433;270;489;1748;92;73;2;6888
500;0;0;0;0;20;40;25;5;10;HighPerturbationHighfractality;42;10;2,132489365;0,926128364;0,131105625;0,133897608;0,14582966;0,113383883;0,151472403;0,1081232;0,091870922;0,00290954;0,103626638;0,017780521;4461;4556;4962;3858;5154;3679;3126;99;3526;605;34026
999;0;0;0;0;20;40;25;5;10;HighPerturbationHighfractality;42;8;1,890350667;0,909066511;0,182424594;0,164153132;0,159657773;0,111948956;0,043213457;0,055394432;0,254930394;0;0,028277262;0;1258;1132;1101;772;298;382;1758;0;195;0;6896
500;0;0;0;0;20;40;25;5;10;HighPerturbationHighfractality;43;10;2,135334141;0,927363835;0,120428844;0,143780291;0,110647672;0,153414598;0,142869731;0,111176384;0,091525922;0,005874578;0,105713027;0,014568953;4100;4895;3767;5223;4864;3785;3116;200;3599;496;34045
999;0;0;0;0;20;40;25;5;10;HighPerturbationHighfractality;43;8;1,733018307;0,833405639;0,130599848;0,231131359;0,111465452;0,124525437;0,056188307;0,022930904;0,321336371;0;0,001822323;0;860;1522;734;820;370;151;2116;0;12;0;6585
500;0;0;0;0;20;40;25;5;10;HighPerturbationHighfractality;44;10;2,125969427;0,923296791;0,137627596;0,142760765;0,15959756;0,087674528;0,145342016;0,125337323;0,076410888;0,003109234;0,100551449;0,021588642;4692;4867;5441;2989;4955;4273;2605;106;3428;736;34092
999;0;0;0;0;20;40;25;5;10;HighPerturbationHighfractality;44;8;1,837142113;0,883478605;0,176228302;0,158576052;0,196822595;0,100470727;0,041629891;0,066343042;0,254633716;0;0,005295675;0;1198;1078;1338;683;283;451;1731;0;36;0;6798
500;0;0;0;0;20;40;25;5;10;HighPerturbationHighfractality;45;10;2,134941016;0,927193102;0,150845481;0,127842566;0,1003207;0,151311953;0,153906706;0,101457726;0,090670554;0,004344023;0,098542274;0,020758017;5174;4385;3441;5190;5279;3480;3110;149;3380;712;34300
999;0;0;0;0;20;40;25;5;10;HighPerturbationHighfractality;45;7;1,722844334;0,885366848;0,257712728;0,136604965;0,108623906;0,193715024;0,01592768;0,041182379;0,246233319;0;0;0;1796;952;757;1350;111;287;1716;0;0;0;6969
500;0;0;0;0;20;40;25;5;10;HighPerturbationHighfractality;46;10;2,132751667;0,92624228;0,135587733;0,097268821;0,157572547;0,140649832;0,143063159;0,113396904;0,087262346;0,004591206;0,102831244;0,017776208;4607;3305;5354;4779;4861;3853;2965;156;3494;604;33978
999;0;0;0;0;20;40;25;5;10;HighPerturbationHighfractality;46;8;1,848661713;0,889018362;0,195233338;0,066647638;0,135150564;0,224347081;0,071357214;0,037819324;0,246753247;0;0,022691594;0;1368;467;947;1572;500;265;1729;0;159;0;7007
500;0;0;0;0;20;40;25;5;10;HighPerturbationHighfractality;47;10;2,140946797;0,92980138;0,143645262;0,130327747;0,130238766;0,128488803;0,144861338;0,104048643;0,096247961;0,00231351;0,096811508;0,023016462;4843;4394;4391;4332;4884;3508;3245;78;3264;776;33715
999;0;0;0;0;20;40;25;5;10;HighPerturbationHighfractality;47;9;1,890931767;0,860600135;0,1829233;0,108827786;0,15788712;0,167438495;0,041678726;0,046164978;0,258176556;0;0,036468886;0,000434153;1264;752;1091;1157;288;319;1784;0;252;3;6910
500;0;0;0;0;20;40;25;5;10;HighPerturbationHighfractality;48;10;2,139373897;0,929118278;0,177308317;0,078711774;0,140700251;0,133224996;0,145457231;0,098744275;0,097355592;0,007977545;0,09753287;0,022987147;6001;2664;4762;4509;4923;3342;3295;270;3301;778;33845
999;0;0;0;0;20;40;25;5;10;HighPerturbationHighfractality;48;9;1,993059034;0,907080257;0,196143617;0,095345745;0,164361702;0,150930851;0,095079787;0,054521277;0,201196809;0,02606383;0,016356383;0;1475;717;1236;1135;715;410;1513;196;123;0;7520
500;0;0;0;0;20;40;25;5;10;HighPerturbationHighfractality;49;10;2,136898535;0,928043242;0,143338269;0,131144209;0,12037279;0,126585954;0,163342334;0,10617542;0,085010017;0,005400226;0,100426792;0,018203989;4937;4517;4146;4360;5626;3657;2928;186;3459;627;34443
