dados_little;specialization;World Size
0,076989115;Specialist;Smaller World
0;Specialist;Smaller World
0,530079221;Specialist;Smaller World
0,562335145;Specialist;Smaller World
0,318332005;Specialist;Smaller World
0,191613513;Specialist;Smaller World
0,4049177;Specialist;Smaller World
0,280438219;Specialist;Smaller World
0,10504881;Specialist;Smaller World
0,12512384;Specialist;Smaller World
0,038760539;Specialist;Smaller World
0,672130058;Specialist;Smaller World
0,048155575;Specialist;Smaller World
0,093242946;Specialist;Smaller World
0,346172595;Specialist;Smaller World
0,050480186;Specialist;Smaller World
0,233971216;Specialist;Smaller World
0;Specialist;Smaller World
0,689391469;Specialist;Smaller World
0;Specialist;Smaller World
0;Specialist;Smaller World
0;Specialist;Smaller World
0,38424296;Specialist;Smaller World
0,058620823;Specialist;Smaller World
0,195034996;Specialist;Smaller World
0,547933806;Specialist;Smaller World
0,350975659;Specialist;Smaller World
0,522200465;Specialist;Smaller World
0,258899727;Specialist;Smaller World
0,523586337;Specialist;Smaller World
0,174718277;Specialist;Smaller World
0,148042247;Specialist;Smaller World
0,141257013;Specialist;Smaller World
0,479948615;Specialist;Smaller World
0;Specialist;Smaller World
0,603637252;Specialist;Smaller World
0,129540356;Specialist;Smaller World
0,670856232;Specialist;Smaller World
0;Specialist;Smaller World
0,244728906;Specialist;Smaller World
0,202851133;Specialist;Smaller World
0,425296972;Specialist;Smaller World
0,575118624;Specialist;Smaller World
0,261416444;Specialist;Smaller World
0,226918955;Specialist;Smaller World
0,080184275;Specialist;Smaller World
0,219945992;Specialist;Smaller World
0,435595309;Specialist;Smaller World
0,162093628;Specialist;Smaller World
0,275300911;Specialist;Smaller World
0,347033164;Specialist;Smaller World
0,208899757;Specialist;Smaller World
0,090616584;Specialist;Smaller World
0,467457687;Specialist;Smaller World
0,07748793;Specialist;Smaller World
0,654391255;Specialist;Smaller World
0,244604064;Specialist;Smaller World
0,337174771;Specialist;Smaller World
0,174584708;Specialist;Smaller World
0,614395019;Specialist;Smaller World
0,011763689;Specialist;Smaller World
0,102013531;Specialist;Smaller World
0,00302566;Specialist;Smaller World
0,508839291;Specialist;Smaller World
0,087660758;Specialist;Smaller World
0,066688781;Specialist;Smaller World
0;Specialist;Smaller World
0,103835122;Specialist;Smaller World
0;Specialist;Smaller World
0,429484483;Specialist;Smaller World
0;Specialist;Smaller World
0,4998132;Specialist;Smaller World
0,669686171;Specialist;Smaller World
0,004931672;Specialist;Smaller World
0,064270605;Specialist;Smaller World
0,191235281;Specialist;Smaller World
0,559047486;Specialist;Smaller World
0;Specialist;Smaller World
0;Specialist;Smaller World
0,209962307;Specialist;Smaller World
0,379322678;Specialist;Smaller World
0,385184392;Specialist;Smaller World
0,135003432;Specialist;Smaller World
0,053847946;Specialist;Smaller World
0,021087533;Specialist;Smaller World
0,001084505;Specialist;Smaller World
0,47926934;Specialist;Smaller World
0,043916859;Specialist;Smaller World
0;Specialist;Smaller World
0,512921205;Specialist;Smaller World
0,116248698;Specialist;Smaller World
0,022926471;Specialist;Smaller World
0,011127486;Specialist;Smaller World
0,446324969;Specialist;Smaller World
0,192999865;Specialist;Smaller World
0,201026843;Specialist;Smaller World
0,059047824;Specialist;Smaller World
0,009464499;Specialist;Smaller World
0,278406385;Specialist;Smaller World
0,012858775;Specialist;Smaller World
0,040605012;Specialist;Smaller World
0;Specialist;Smaller World
0,09853787;Specialist;Smaller World
0,562335145;Specialist;Smaller World
0,318332005;Specialist;Smaller World
0,006090465;Specialist;Smaller World
0,288184129;Specialist;Smaller World
0,280438219;Specialist;Smaller World
0,193263913;Specialist;Smaller World
0,46345525;Specialist;Smaller World
0,038760539;Specialist;Smaller World
0,343948883;Specialist;Smaller World
0,120216506;Specialist;Smaller World
0,535358488;Specialist;Smaller World
0,004779631;Specialist;Smaller World
0,574746258;Specialist;Smaller World
0,382631554;Specialist;Smaller World
0;Specialist;Smaller World
0,062759648;Specialist;Smaller World
0;Specialist;Smaller World
0;Specialist;Smaller World
0;Specialist;Smaller World
0,547186156;Specialist;Smaller World
0,005992407;Specialist;Smaller World
0,195034996;Specialist;Smaller World
0,547933806;Specialist;Smaller World
0,030637811;Specialist;Smaller World
0,108853523;Specialist;Smaller World
0,179644218;Specialist;Smaller World
0,523586337;Specialist;Smaller World
0,421433392;Specialist;Smaller World
0,201620153;Specialist;Smaller World
0,3493234;Specialist;Smaller World
0,479948615;Specialist;Smaller World
0;Specialist;Smaller World
0,603637252;Specialist;Smaller World
0,12013909;Specialist;Smaller World
0,11187068;Specialist;Smaller World
0;Specialist;Smaller World
0,183771284;Specialist;Smaller World
0,338731228;Specialist;Smaller World
0,636514168;Specialist;Smaller World
0,575118624;Specialist;Smaller World
0,125795931;Specialist;Smaller World
0,229473026;Specialist;Smaller World
0,575101953;Specialist;Smaller World
0,036153721;Specialist;Smaller World
0,435595309;Specialist;Smaller World
0,101978049;Specialist;Smaller World
0,013331614;Specialist;Smaller World
0,342477957;Specialist;Smaller World
0,208899757;Specialist;Smaller World
0,293704154;Specialist;Smaller World
0,225678677;Specialist;Smaller World
0,457044533;Specialist;Smaller World
0,00518895;Specialist;Smaller World
0,060590359;Specialist;Smaller World
0,236789721;Specialist;Smaller World
0,433896422;Specialist;Smaller World
0,03305162;Specialist;Smaller World
0,008484812;Specialist;Smaller World
0,408749044;Specialist;Smaller World
0,31396018;Specialist;Smaller World
0,508839291;Specialist;Smaller World
0,051934384;Specialist;Smaller World
0,002200499;Specialist;Smaller World
0;Specialist;Smaller World
0,524473638;Specialist;Smaller World
0;Specialist;Smaller World
0,137563504;Specialist;Smaller World
0;Specialist;Smaller World
0,191224215;Specialist;Smaller World
0,021145422;Specialist;Smaller World
0,22749251;Specialist;Smaller World
0,037432644;Specialist;Smaller World
0,199084162;Specialist;Smaller World
0,082564938;Specialist;Smaller World
0;Specialist;Smaller World
0;Specialist;Smaller World
0,160979918;Specialist;Smaller World
0,379322678;Specialist;Smaller World
0,257318641;Specialist;Smaller World
0,135003432;Specialist;Smaller World
0,62057314;Specialist;Smaller World
0,626733568;Specialist;Smaller World
0,421922209;Specialist;Smaller World
0,675232289;Specialist;Smaller World
0,545594574;Specialist;Smaller World
0,330680631;Specialist;Smaller World
0,655968133;Specialist;Smaller World
0,603866723;Specialist;Smaller World
0,67423338;Specialist;Smaller World
0,465999257;Specialist;Smaller World
0,394565168;Specialist;Smaller World
0,602831548;Specialist;Smaller World
0,585406479;Specialist;Smaller World
0,690649235;Specialist;Smaller World
0,671904378;Specialist;Smaller World
0,690923309;Specialist;Smaller World
0,094309111;Specialist;Smaller World
0;Specialist;Smaller World
0,571065183;Specialist;Smaller World
0,551695277;Specialist;Smaller World
0,597358157;Specialist;Smaller World
0,294917281;Specialist;Smaller World
0,600817043;Specialist;Smaller World
0,685132617;Specialist;Smaller World
0,485156231;Specialist;Smaller World
0,64577701;Specialist;Smaller World
0,525568291;Specialist;Smaller World
0,266384463;Specialist;Smaller World
0,582564556;Specialist;Smaller World
0,644341512;Specialist;Smaller World
0,621918995;Specialist;Smaller World
0,659513533;Specialist;Smaller World
0,683726901;Specialist;Smaller World
0,673895141;Specialist;Smaller World
0;Specialist;Smaller World
0,290434166;Specialist;Smaller World
0,420399593;Specialist;Smaller World
0,685289911;Specialist;Smaller World
0,447391564;Specialist;Smaller World
0,428942731;Specialist;Smaller World
0,633944922;Specialist;Smaller World
0,568377019;Specialist;Smaller World
0,568035325;Specialist;Smaller World
0,288699544;Specialist;Smaller World
0,443062434;Specialist;Smaller World
