sheep_plasticity;wolf_plasticity;cost_plasticity_sheep;cost_plasticity_wolf;sheep_gain_from_food;wolf_gain_from_food;sheep_reproduce;wolf_reproduce;grass_regrowth_time;mean_Richness;sd_Richness
2;3;0,2;0,3;30;30;25;15;5;8,78;0,660272365
2;3;0,2;0,3;30;40;10;10;15;8,78;0,462317395
2;3;0,2;0,3;30;30;15;10;5;8,76;1,074215711
2;3;0,2;0,3;30;40;25;5;15;8,75;0,43519414
2;3;0,2;0,3;20;50;10;15;10;8,73;0,468287229
2;3;0,2;0,3;30;50;10;10;5;8,66;1,147857028
2;3;0,2;0,3;40;30;25;15;5;8,65;1,122542209
2;3;0,2;0,3;30;40;10;15;5;8,64;0,893523272
2;3;0,2;0,3;20;50;10;10;10;8,62;0,487831731
2;3;0,2;0,3;30;30;10;5;5;8,59;1,092629115
2;3;0,2;0,3;30;50;10;5;5;8,58;1,147504979
2;3;0,2;0,3;20;30;10;15;5;8,53;0,86986589
2;3;0,2;0,3;30;40;25;10;5;8,53;0,771395168
2;3;0,2;0,3;30;40;10;5;15;8,52;0,577000254
2;3;0,2;0,3;30;40;10;5;5;8,51;1,210184058
2;3;0,2;0,3;40;30;25;10;5;8,5;1,010050504
2;3;0,2;0,3;20;40;15;10;10;8,49;0,502418394
2;3;0,2;0,3;30;30;10;10;5;8,39;0,930895084
2;3;0,2;0,3;20;40;15;5;10;8,38;0,564613035
2;3;0,2;0,3;20;50;10;5;10;8,38;0,615949624
2;3;0,2;0,3;30;30;10;15;5;8,37;1,050781335
2;3;0,2;0,3;30;50;15;5;5;8,35;1,131504764
2;3;0,2;0,3;20;40;25;5;10;8,33;0,513553672
2;3;0,2;0,3;40;40;25;5;5;8,3;0,858704686
2;3;0,2;0,3;40;30;15;15;5;8,29;1,200126256
2;3;0,2;0,3;30;50;10;15;5;8,26;1,177396546
2;3;0,2;0,3;30;30;25;10;15;8,25;0,479372485
2;3;0,2;0,3;30;30;25;15;15;8,23;0,422952585
2;3;0,2;0,3;30;50;25;10;5;8,2;0,974420315
2;3;0,2;0,3;30;30;15;10;15;8,14;0,348735088
2;3;0,2;0,3;20;50;25;15;15;8,1;0,301511345
2;3;0,2;0,3;30;30;15;15;15;8,1;0,301511345
2;3;0,2;0,3;20;40;10;15;10;8,09;0,287623491
2;3;0,2;0,3;20;40;10;10;10;8,04;0,4
2;3;0,2;0,3;20;50;25;10;15;8,04;0,196946386
2;3;0,2;0,3;30;30;10;15;15;8,02;0,140705294
2;3;0,2;0,3;20;30;15;10;10;8;0,142133811
2;3;0,2;0,3;20;30;15;15;10;8;0
2;3;0,2;0,3;20;30;25;15;10;8;0
2;3;0,2;0,3;20;50;15;15;15;8;0
2;3;0,2;0,3;20;40;25;15;15;7,99;0,1
2;3;0,2;0,3;20;30;25;10;10;7,98;0,317184584
2;3;0,2;0,3;20;50;15;10;15;7,98;0,2
2;3;0,2;0,3;30;30;15;5;15;7,97;0,481055237
2;3;0,2;0,3;40;30;15;5;5;7,95;1,290016052
2;3;0,2;0,3;40;40;15;10;5;7,95;1,282162
2;3;0,2;0,3;20;50;10;15;15;7,94;0,277797979
2;3;0,2;0,3;30;30;10;10;15;7,91;0,287623491
2;3;0,2;0,3;20;40;15;15;15;7,88;0,383497988
2;3;0,2;0,3;20;30;10;15;10;7,87;0,337997669
2;3;0,2;0,3;20;30;15;5;10;7,8;0,402015126
2;3;0,2;0,3;20;40;25;10;15;7,79;0,409360181
2;3;0,2;0,3;20;40;10;5;10;7,77;0,708605117
2;3;0,2;0,3;20;40;15;10;15;7,69;0,486068541
2;3;0,2;0,3;20;30;10;10;10;7,67;0,472581563
2;3;0,2;0,3;30;30;10;5;15;7,67;0,636515133
2;3;0,2;0,3;20;50;25;5;15;7,63;0,485236587
2;3;0,2;0,3;40;40;15;15;5;7,59;1,189983448
2;3;0,2;0,3;20;50;10;10;15;7,57;0,497569852
2;3;0,2;0,3;40;50;15;10;5;7,55;1,336171222
2;3;0,2;0,3;40;30;10;10;5;7,54;0,914750062
2;3;0,2;0,3;20;40;10;15;15;7,48;0,521845985
2;3;0,2;0,3;20;50;15;5;15;7,47;0,610596661
2;3;0,2;0,3;30;30;25;5;15;7,44;0,518739732
2;3;0,2;0,3;40;30;10;15;5;7,41;0,80522285
2;3;0,2;0,3;40;40;10;10;5;7,38;0,907655432
2;3;0,2;0,3;20;30;25;5;10;7,37;0,505624926
2;3;0,2;0,3;20;30;15;15;15;7,26;0,484507456
2;3;0,2;0,3;20;40;10;10;15;7,23;0,547814759
2;3;0,2;0,3;40;30;15;10;5;7,23;1,262153043
2;3;0,2;0,3;20;30;10;5;10;7,22;0,612661028
2;3;0,2;0,3;20;30;25;15;15;7,1;0,301511345
2;3;0,2;0,3;20;40;25;5;15;7,09;0,287623491
2;3;0,2;0,3;20;30;25;10;15;7,06;0,238683257
2;3;0,2;0,3;20;40;15;5;15;7,06;0,6
2;3;0,2;0,3;40;40;15;5;5;7,05;1,122542209
2;3;0,2;0,3;20;30;10;15;15;7,02;0,245361
2;3;0,2;0,3;40;50;25;5;5;7;1,318094738
2;3;0,2;0,3;20;30;15;10;15;6,99;0,41426581
2;3;0,2;0,3;20;30;25;5;15;6,99;0,1
2;3;0,2;0,3;20;30;15;5;15;6,98;0,140705294
2;3;0,2;0,3;20;30;10;10;15;6,97;0,331966896
2;3;0,2;0,3;20;30;10;5;15;6,95;0,219042914
2;3;0,2;0,3;20;50;10;5;15;6,95;0,557320429
2;3;0,2;0,3;40;30;10;5;5;6,88;0,913202822
2;3;0,2;0,3;40;40;25;10;5;6,85;1,225775368
2;3;0,2;0,3;40;40;10;15;5;6,8;0,828775414
2;3;0,2;0,3;40;50;10;10;5;6,7;0,915633026
2;3;0,2;0,3;20;40;10;5;15;6,61;0,510396954
2;3;0,2;0,3;40;50;15;15;5;6,45;1,533300395
2;3;0,2;0,3;40;50;10;15;5;6,36;0,92681708
2;3;0,2;0,3;40;50;15;5;5;6,16;0,895781359
2;3;0,2;0,3;40;40;10;5;5;5,88;1,037479463
2;3;0,2;0,3;40;50;25;10;5;5,82;1,380821012
2;3;0,2;0,3;40;50;10;5;5;5,7;1,096366819
